Tweet content,Latitude,Longitude,sentiment
"Can you recommend anyone for this #Hospitality #job? https://t.co/XIIfeo8WVa #Fairfax, VA #Hiring #CareerArc",38.8462236,-77.3063733,0.0
"Interested in a #Nursing #job near #Alexandria, VA? This could be a great fit: https://t.co/NSRmavzpGM #Hiring #CareerArc",38.8048355,-77.0469214,0.38749999999999996
"Can you recommend anyone for this #job? Special Care Nursery - https://t.co/IZODWRY6ju #Statesville, NC #Nursing #Hiring #CareerArc",35.78263629999999,-80.8872959,0.35714285714285715
"#Hospitality #Job alert: Customer Service - Restaurant | Love's Travel Stops &amp; Country St... | #Sparta, KY https://t.co/F5UCKdpGn7 #Jobs",38.67700900000001,-84.9068929,0.5
"#security #Job alert: Security Officer | Trump Hotels | #LasVegas, NV https://t.co/yRspzpQeR9 #Jobs #Hiring",36.129558,-115.172623,0.0
"We're #hiring! Click to apply: Pharmacy Technician - https://t.co/OHk63zQXg8 #Healthcare #WHITSETT, NC #Job #Jobs",36.0712466,-79.5644686,0.0
Best Screen Printing Companies  https://t.co/MFYfxTUOZ1,40.5095154,-74.84263900000002,1.0
"Can you recommend anyone for this #job? Field Technology Specialist - https://t.co/uJyHDVupmt #Columbia, SC #Retail #Hiring #CareerArc",34.068273299999994,-81.16438049999998,0.0
"Cardiothoracic Surgeon Needed - LewisGale Medical Center: (#Salem, VA) https://t.co/VDkuZRLqP6 #Physician #Job https://t.co/cizyvwc4uG",37.2636301,-80.03149029999999,-0.2833333333333333
My first Top Golf experience was a success! So much fun! #beginnersluck #greatday #greatcompany… https://t.co/CBVveOvhd9,33.54104945,-111.8768597,0.375
Accident in #Summit on I 77 NB at Vernon Odem Blvd #traffic https://t.co/IXfI2jq0g9,41.06399999999999,-81.57298,0.0
"Accident, right lane blocked in #Dallas on 35E NB at Woodall Rogers Frwy, stop and go traffic in the area back to Beckley Ave #DFWTraffic",32.78212,-96.8119,0.14285714285714285
"I'm at Marlow &amp; Sons in Brooklyn, NY https://t.co/T1iTu1JDGu",40.71061049,-73.96568428,0.0
Street Scenes @ Chicago Union Station https://t.co/VGrggN7bvu,41.87864,-87.64024999999998,0.0
"#Nursing #Job alert: Registered Nurse | RN | ER (Contract) | Favorite Health Care Staffing | #Lawrence, MA https://t.co/zVCUIZKeGq #Jobs",42.7070354,-71.1631137,0.5
"#Greenville, SC #Manufacturing #Job: Utility III at Cintas Corporation https://t.co/v9r4UseDfb #cintasjobs #Jobs #Hiring #CareerArc",34.8526176,-82.3940104,0.0
"Interested in a #Finance #job near #StAugustine, FL? This could be a great fit: https://t.co/X7GDKTowow #Hiring #CareerArc",29.9012437,-81.31243409999998,0.38749999999999996
"Can you recommend anyone for this #Retail #job? https://t.co/4pYf2CwvBD #Dayton, OH #Hiring #CareerArc",39.6301203,-84.2066392,0.0
"Department of Veterans Affairs #Physician #Job: Physician (Emergency Department ) (#Orlando, FL) https://t.co/GeUuQFZjSy #Veterans #Jobs",28.5383355,-81.3792365,0.0
This #Hospitality #job might be a great fit for you: Barista (US) - https://t.co/xgcjOKzIM2 #Veterans #Hiring #CareerArc,39.2726624,-84.3279278,0.6000000000000001
Loved watching my boy yesterday!!!!! @ The Carolina Country Club https://t.co/C1Whxvz8pI,34.88087,-81.91173999999998,1.0
Starting with the #MorningSweatSession  #foodieissues #workout #fitness #instafit #gymflow… https://t.co/rpi5IJXUbK,33.85084105,-118.35280549,0.0
"""Never let anyone dull your sparkle!"" https://t.co/Mi40ZUbPtx",37.293925,-76.72684700000002,-0.36458333333333337
"4:00 am Cheesesteaks at Pat's ""wit"" Kev #tbt #cheesesteak #philly… https://t.co/zNzXcRKhFW",39.933175,-75.159238,0.0
"Repost @riawnacapri : "" 👸🏻👸🏼👸🏻👸🏼👸🏻👸🏼👸🏻👸🏼 ""

#NinaDobrev #LosAngeles #usa #unitedstatesofamerica… https://t.co/AH5mhkQnJg",34.083863,-118.375578,0.0
"Tomorrow!!!

Stop by Midnite Confection's Cupcakery for their Customer Appreciation… https://t.co/2NoJQpOhQS",39.277109,-76.614313,0.0
Had a great time playing for @laceycaroline's EP release last night @tinroofbroadway! #nashville… https://t.co/cowBCSttRk,36.00623554,-86.65549222,0.4
It's time ball!,33.847957,-84.368326,0.0
"Can you recommend anyone for this #Sales #job? https://t.co/OBAg1WlXPl #RedBank, NJ #Veterans #Hiring #CareerArc",40.3470543,-74.0643065,0.0
"Want to work at FedEx Office? We're #hiring in #Indianapolis, IN! Click for details: https://t.co/18OsnWSnUt #Retail #Job #Jobs #CareerArc",39.7713425,-86.1573709,0.0
"I'm at McDonald's in Lubbock, TX https://t.co/Z6jX4KKKVN",33.57754451,-101.86645388,0.0
"We're #hiring! Click to apply: Community Health Worker Community Health - https://t.co/R5HNGG5VML #HealthWelfare #Allentown, PA #Job #Jobs",40.6084305,-75.4901833,0.0
"Want to work at Zales? We're #hiring in #Muskegon, MI! Click for details: https://t.co/OEfIZcKLen #BusinessMgmt #Job #Jobs #CareerArc",43.17906170000001,-86.1853474,0.0
"This #Nursing #job might be a great fit for you: Registered Nurse RN -PT, 7p-7a- Kindred Nursing &amp; Rehab-... - https://t.co/CtmVYfDkOV",40.5886699,-83.12852420000002,0.6000000000000001
